"","Cell","PredictedID"
"463_2","463_2","CAFs"
"464_2","464_2","Epithelial"
"465_2","465_2","Epithelial"
"466_2","466_2","CAFs"
"467_2","467_2","CAFs"
"468_2","468_2","Epithelial"
"469_2","469_2","T cells"
"470_2","470_2","B cells"
"471_2","471_2","Epithelial"
"472_2","472_2","Epithelial"
"473_2","473_2","T cells"
"474_2","474_2","Epithelial"
"475_2","475_2","Epithelial"
"476_2","476_2","Epithelial"
"477_2","477_2","Epithelial"
"478_2","478_2","Epithelial"
"479_2","479_2","Epithelial"
"480_2","480_2","CAFs"
"481_2","481_2","TAMs"
"482_2","482_2","Epithelial"
"483_2","483_2","Epithelial"
"484_2","484_2","Myofib"
"485_2","485_2","Epithelial"
"486_2","486_2","Epithelial"
"487_2","487_2","Myofib"
"488_2","488_2","Epithelial"
"489_2","489_2","T cells"
"490_2","490_2","Epithelial"
"491_2","491_2","Epithelial"
"492_2","492_2","CAFs"
"493_2","493_2","Epithelial"
"494_2","494_2","T cells"
"495_2","495_2","Epithelial"
"496_2","496_2","Epithelial"
"497_2","497_2","Epithelial"
"498_2","498_2","Epithelial"
"499_2","499_2","B cells"
"500_2","500_2","Epithelial"
"501_2","501_2","Epithelial"
"502_2","502_2","Epithelial"
"503_2","503_2","Epithelial"
"504_2","504_2","T cells"
"505_2","505_2","Epithelial"
"506_2","506_2","Epithelial"
"507_2","507_2","Epithelial"
"508_2","508_2","B cells"
"509_2","509_2","TAMs"
"510_2","510_2","Epithelial"
"511_2","511_2","Epithelial"
"512_2","512_2","Epithelial"
"513_2","513_2","TAMs"
"514_2","514_2","Epithelial"
"515_2","515_2","Epithelial"
"516_2","516_2","T cells"
"517_2","517_2","Epithelial"
"518_2","518_2","T cells"
"519_2","519_2","Epithelial"
"520_2","520_2","TAMs"
"521_2","521_2","Epithelial"
"522_2","522_2","T cells"
"523_2","523_2","Epithelial"
"524_2","524_2","Epithelial"
"525_2","525_2","Epithelial"
"526_2","526_2","Myofib"
"527_2","527_2","T cells"
"528_2","528_2","CAFs"
"529_2","529_2","Myofib"
"530_2","530_2","T cells"
"531_2","531_2","Epithelial"
"532_2","532_2","CAFs"
"533_2","533_2","Epithelial"
"534_2","534_2","CAFs"
"535_2","535_2","Epithelial"
"536_2","536_2","Epithelial"
"537_2","537_2","Epithelial"
"538_2","538_2","Epithelial"
"539_2","539_2","Epithelial"
"540_2","540_2","Epithelial"
"541_2","541_2","Epithelial"
"542_2","542_2","T cells"
"543_2","543_2","CAFs"
"544_2","544_2","Epithelial"
"545_2","545_2","Epithelial"
"546_2","546_2","Epithelial"
"547_2","547_2","Epithelial"
"548_2","548_2","Epithelial"
"549_2","549_2","Epithelial"
"550_2","550_2","CAFs"
"551_2","551_2","Epithelial"
"552_2","552_2","Epithelial"
"553_2","553_2","Epithelial"
"554_2","554_2","Endothelial"
"555_2","555_2","Epithelial"
"556_2","556_2","T cells"
"557_2","557_2","Epithelial"
"558_2","558_2","Epithelial"
"559_2","559_2","Epithelial"
"560_2","560_2","T cells"
"561_2","561_2","Epithelial"
"562_2","562_2","Epithelial"
"563_2","563_2","Epithelial"
"564_2","564_2","Epithelial"
"565_2","565_2","Epithelial"
"566_2","566_2","T cells"
"567_2","567_2","CAFs"
"568_2","568_2","T cells"
"569_2","569_2","CAFs"
"570_2","570_2","Endothelial"
"571_2","571_2","CAFs"
"572_2","572_2","Epithelial"
"573_2","573_2","T cells"
"574_2","574_2","Epithelial"
"575_2","575_2","Epithelial"
"576_2","576_2","Epithelial"
"577_2","577_2","Epithelial"
"578_2","578_2","Epithelial"
"579_2","579_2","Epithelial"
"580_2","580_2","TAMs"
"581_2","581_2","Epithelial"
"582_2","582_2","CAFs"
"583_2","583_2","T cells"
"584_2","584_2","T cells"
"585_2","585_2","T cells"
"586_2","586_2","Epithelial"
"587_2","587_2","Endothelial"
"588_2","588_2","Epithelial"
"589_2","589_2","Epithelial"
"590_2","590_2","Myofib"
"591_2","591_2","Epithelial"
"592_2","592_2","Epithelial"
"593_2","593_2","Epithelial"
"594_2","594_2","Epithelial"
"595_2","595_2","T cells"
"596_2","596_2","Endothelial"
"597_2","597_2","Epithelial"
"598_2","598_2","Epithelial"
